,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
26,Perimeter,21-May-04,3.99,"20,000-50,000",K-D Lab,1C Entertainment,0.0,0.0,77.0,20928,Strategy,E,PC,,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/24589/perimeter/?region=All,/games/boxart/4874619ccc.jpg
27,Warlords Battlecry III,17-May-04,9.99,"20,000-50,000",Infinite Interactive,"Retroism, Enlight Software Limited",0.0,0.0,73.0,51055,Strategy,T,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/24891/warlords-battlecry-iii/?region=All,/games/boxart/7463135ccc.jpg
28,Men of Valor,29-Nov-04,9.99,"20,000-50,000",2015,THQ Nordic,0.0,0.0,71.0,7647,Shooter,M,XB,,,,0.25,0.19,0.05,,0.01,2004.0,http://www.vgchartz.com/game/1316/men-of-valor/?region=All,/games/boxart/full_4238834AmericaFrontccc.jpg
29,Men of Valor,29-Nov-04,9.99,"20,000-50,000",2015,THQ Nordic,0.0,0.0,71.0,37605,Shooter,M,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/42023/men-of-valor/?region=All,/games/boxart/full_4157921AmericaFrontccc.jpg
30,Shadow Ops: Red Mercury,17-Sep-04,6.99,"20,000-50,000",Zombie Studios,Retroism,0.0,0.0,61.0,10294,Shooter,T,XB,,,,0.15,0.11,0.03,,0.01,2004.0,http://www.vgchartz.com/game/2022/shadow-ops-red-mercury/?region=All,/games/boxart/6935209ccc.jpg
31,Shadow Ops: Red Mercury,17-Sep-04,6.99,"20,000-50,000",Zombie Studios,Retroism,0.0,0.0,61.0,44203,Shooter,T,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/42350/shadow-ops-red-mercury/?region=All,/games/boxart/full_4146652AmericaFrontccc.jpg
32,Konung 2,30-Nov-04,2.99,"20,000-50,000",1C Entertainment,1C Entertainment,0.0,0.0,35.0,35652,Misc,,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/81628/konung-2/?region=All,/games/boxart/default.jpg
33,Chris Sawyer's Locomotion,10-Sep-04,5.99,"20,000-50,000",Chris Sawyer,Atari,0.0,0.0,,19960,Strategy,E,PC,,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/24060/chris-sawyers-locomotion/?region=All,/games/boxart/2802683ccc.jpg
34,Mashed,25-Jun-04,4.99,"20,000-50,000",Supersonic Software,Strategy First,0.0,0.0,,37202,Racing,,PS2,,,,,,,,,2020.0,http://www.vgchartz.com/game/16160/mashed/?region=All,/games/boxart/full_6689515PALFrontccc.jpg
35,Myst IV: Revelation,10-Sep-04,14.99,"0-20,000",Ubisoft Montreal,"Cyan Worlds, Ubisoft",0.0,0.0,82.0,14965,Adventure,T,XB,,,,0.05,0.04,0.01,,0.0,2005.0,http://www.vgchartz.com/game/1466/myst-iv-revelation/?region=All,/games/boxart/full_1828226AmericaFrontccc.jpg
36,Myst IV: Revelation,10-Sep-04,14.99,"0-20,000",Ubisoft Montreal,"Cyan Worlds, Ubisoft",0.0,0.0,82.0,19192,Adventure,T,PC,,,,0.01,0.01,0.0,,0.0,2004.0,http://www.vgchartz.com/game/19032/myst-iv-revelation/?region=All,/games/boxart/full_950495AmericaFrontccc.jpg
37,Nemesis of the Roman Empire,17-Mar-04,9.99,"0-20,000",Haemimont Games,"Retroism, Enlight Software Limited",0.0,0.0,74.0,39175,Strategy,E,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/25108/nemesis-of-the-roman-empire/?region=All,/games/boxart/full_3551485AmericaFrontccc.jpg
38,Nancy Drew: The Secret of Shadow Ranch,1-Jun-04,9.99,"0-20,000",HeR Interactive,HeR Interactive,0.0,0.0,68.0,38905,Adventure,,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/23251/nancy-drew-the-secret-of-shadow-ranch/?region=All,/games/boxart/2204225ccc.jpg
39,Lords of the Realm III,17-Mar-04,4.99,"0-20,000",Impressions Games,Rebellion,0.0,0.0,65.0,36358,Strategy,,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/19900/lords-of-the-realm-iii/?region=All,/games/boxart/1683320ccc.png
40,Echelon: Wind Warriors,3-Feb-04,3.99,"0-20,000",MADia Entertainment,Buka Entertainment,0.0,0.0,63.0,29653,Action,T,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/84050/echelon-wind-warriors/?region=All,/games/boxart/full_4087742PALFrontccc.jpg
41,Zoo Empire,1-Aug-04,6.99,"0-20,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0.0,0.0,59.0,20587,Simulation,,PC,,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/25107/zoo-empire/?region=All,/games/boxart/5478126ccc.jpg
42,Half-Life 2: Lost Coast,27-Oct-05,,"10,000,000-20,000,000",Valve,Valve,0.0,0.0,,32881,Shooter,M,PC,,,,,,,,,2005.0,http://www.vgchartz.com/game/34590/half-life-2-lost-coast/?region=All,/games/boxart/full_4003147AmericaFrontccc.jpg
43,Grand Theft Auto: San Andreas,6-Jun-05,14.99,"2,000,000-5,000,000",Rockstar Games,Rockstar Games,373.0,236.0,93.0,27,Action,M,PS2,9.5,,17.3,,,,,,2004.0,http://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/?region=All,/games/boxart/3887656ccc.jpg
44,Grand Theft Auto: San Andreas,6-Jun-05,14.99,"2,000,000-5,000,000",Rockstar Games,Rockstar Games,373.0,236.0,93.0,1044,Action,M,XB,9.2,,,1.95,1.26,0.61,,0.09,2005.0,http://www.vgchartz.com/game/894/grand-theft-auto-san-andreas/?region=All,/games/boxart/1223151ccc.jpg
45,Grand Theft Auto: San Andreas,6-Jun-05,14.99,"2,000,000-5,000,000",Rockstar Games,Rockstar Games,373.0,236.0,93.0,2498,Action,M,PC,9.4,,,0.97,0.0,0.93,,0.04,2005.0,http://www.vgchartz.com/game/12368/grand-theft-auto-san-andreas/?region=All,/games/boxart/752499ccc.jpg
