game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url,metascore,userscore
Aaru's Awakening,23-Feb-15,14.99,"20,000-50,000",Lumenox ehf,Lumenox ehf,0,0,21714,Action,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/83141/aarus-awakening/?region=All,/games/boxart/full_3490355AmericaFrontccc.jpg,59,2.8
Absolver,29-Aug-17,29.99,"200,000-500,000",Sloclap,Devolver Digital,0,0,52644,Role-Playing,,PS4,,,,,,,,,,http://www.vgchartz.com/game/222631/absolver/?region=All,/games/boxart/default.jpg,69,5.8
Abyss Odyssey,15-Jul-14,14.99,"200,000-500,000",ACE Team,SEGA,0,0,21750,Misc,,PC,,,,,,,,,2014,http://www.vgchartz.com/game/79589/abyss-odyssey/?region=All,/games/boxart/default.jpg,69,7.4
Abyss Odyssey,15-Jul-14,14.99,"200,000-500,000",ACE Team,SEGA,0,0,21751,Misc,,X360,,,,,,,,,2014,http://www.vgchartz.com/game/79590/abyss-odyssey/?region=All,/games/boxart/default.jpg,64,6.5
Abyss Odyssey,15-Jul-14,14.99,"200,000-500,000",ACE Team,SEGA,0,0,21752,Misc,,PS3,,,,,,,,,2014,http://www.vgchartz.com/game/79591/abyss-odyssey/?region=All,/games/boxart/default.jpg,70,6.2
ABZU,2-Aug-16,19.99,"500,000-1,000,000",Giant Squid,505 Games,0,0,4008,Adventure,E,PC,,,0.58,,,,,,2016,http://www.vgchartz.com/game/118836/abzu/?region=All,/games/boxart/full_8381592AmericaFrontccc.jpg,83,6.9
ABZU,2-Aug-16,19.99,"500,000-1,000,000",Giant Squid,505 Games,0,0,16121,Adventure,E,PS4,,,,0.04,0.03,,,0.01,2017,http://www.vgchartz.com/game/83062/abzu/?region=All,/games/boxart/full_1858135AmericaFrontccc.jpg,78,7.6
Achron,29-Aug-11,19.99,"20,000-50,000",Hazardous Software Inc.,Hazardous Software Inc.,0,0,21792,Strategy,,PC,,,,,,,,,2011,http://www.vgchartz.com/game/60003/achron/?region=All,/games/boxart/default.jpg,54,7.4
Act of War: Direct Action,12-Mar-08,2.99,"20,000-50,000",Eugen Systems,THQ Nordic,0,0,20559,Strategy,T,PC,8.2,,,0,,0,,0,2005,http://www.vgchartz.com/game/27042/act-of-war-direct-action/?region=All,/games/boxart/full_184111AmericaFrontccc.jpg,82,8.2
Advent Rising,14-Sep-06,9.99,"50,000-100,000",GlyphX Games,Majesco Entertainment,0,0,21884,Action,T,PC,6.5,,,,,,,,2005,http://www.vgchartz.com/game/19208/advent-rising/?region=All,/games/boxart/3889628ccc.jpg,70,8.6
Adventure Time: Pirates of the Enchiridion,17-Jul-18,19.99,"0-20,000",Climax Studios,Outright Games,0,0,18023,Adventure,E10,PS4,,,,0.02,0.01,,,0,2018,http://www.vgchartz.com/game/221377/adventure-time-pirates-of-the-enchiridion/?region=All,/games/boxart/full_6964669AmericaFrontccc.jpg,62,4.5
Aegis of Earth: Protonovus Assault,18-Jul-16,19.99,"0-20,000",Acquire,Aksys Games,0,0,16001,Action,T,PS4,,,,0.04,0.03,0.01,,0.01,2016,http://www.vgchartz.com/game/86122/aegis-of-earth-protonovus-assault/?region=All,/games/boxart/full_8984132AmericaFrontccc.jpg,57,6.4
AereA,2-Jun-17,14.99,"0-20,000",Triangle Studios,SOEDESCO Publishing,0,0,17107,Role-Playing,E10,PS4,,,,0.03,0.02,,,0,2017,http://www.vgchartz.com/game/190937/aerea/?region=All,/games/boxart/full_2378004AmericaFrontccc.jpg,46,1.8
Age of Wonders II: The Wizard's Throne,10-Oct,2.49,"50,000-100,000",Triumph Studios,Paradox Interactive,0,0,22060,Strategy,T,PC,,,,,,,,,2002,http://www.vgchartz.com/game/26246/age-of-wonders-ii-the-wizards-throne/?region=All,/games/boxart/full_age-of-wonders-ii-the-wizards-throne_181AmericaFront.jpg,86,8.5
Agents of Mayhem,15-Aug-17,29.99,"100,000-200,000",Deep Silver Volition,Deep Silver,0,0,8892,Action,M,PS4,,,,0.2,0.08,0.08,,0.03,2017,http://www.vgchartz.com/game/117550/agents-of-mayhem/?region=All,/games/boxart/full_1502404AmericaFrontccc.jpg,62,6.6
Agents of Mayhem,15-Aug-17,29.99,"100,000-200,000",Deep Silver Volition,Deep Silver,0,0,22079,Action,M,PC,,,,,,,,,2017,http://www.vgchartz.com/game/165626/agents-of-mayhem/?region=All,/games/boxart/full_434350AmericaFrontccc.jpg,68,5.4
Agony,29-May-18,14.99,"50,000-100,000",Madmind Studio,Madmind Studio,0,0,12429,Action,,PC,,,0.1,,,,,,2018,http://www.vgchartz.com/game/221942/agony/?region=All,/games/boxart/full_1593703AmericaFrontccc.png,46,4.3
Agony,29-May-18,14.99,"50,000-100,000",Madmind Studio,Madmind Studio,0,0,17158,Action-Adventure,,PS4,5,,,0.03,0.02,,,0,2018,http://www.vgchartz.com/game/221944/agony/?region=All,/games/boxart/full_7718669AmericaFrontccc.jpg,37,4.9
AI War: Fleet Command,21-Oct-09,9.99,"200,000-500,000","Arcen Games, LLC","Arcen Games, LLC",0,0,5822,Strategy,,PC,,,0.37,,,,,,2009,http://www.vgchartz.com/game/40224/ai-war-fleet-command/?region=All,/games/boxart/full_5805983AmericaFrontccc.jpg,80,8.1
Air Conflicts: Secret Wars,30-Sep-11,5.99,"50,000-100,000","Games Farm, 3Division",Games Farm,0,0,9092,Simulation,T,PS3,,,,0.19,0.1,0.06,,0.03,2011,http://www.vgchartz.com/game/50907/air-conflicts-secret-wars/?region=All,/games/boxart/full_air-conflicts-secret-wars_601AmericaFront.jpg,51,tbd
Air Conflicts: Secret Wars,30-Sep-11,5.99,"50,000-100,000","Games Farm, 3Division",Games Farm,0,0,13171,Simulation,T,X360,6,,,0.08,0.06,0.02,,0.01,2011,http://www.vgchartz.com/game/50906/air-conflicts-secret-wars/?region=All,/games/boxart/full_air-conflicts-secret-wars_442PALFront.jpg,61,tbd
Air Conflicts: Vietnam,2-Oct-13,14.99,"20,000-50,000",Games Farm,Games Farm,0,0,22138,Action,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/83458/air-conflicts-vietnam/?region=All,/games/boxart/full_5412081AmericaFrontccc.jpg,43,2.8
