game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url,metascore,userscore
Death Road to Canada,21-Jul-16,14.99,"200,000-500,000","Rocketcat Games, Madgarden",Rocketcat Games,0,0,53401,Action,,PS4,,,,,,,,,2016,http://www.vgchartz.com/game/221000/death-road-to-canada/?region=All,/games/boxart/default.jpg,78,5.9
Death Track: Resurrection,6-May-09,2.99,"20,000-50,000",Sky Fallen,1C Entertainment,0,0,28031,Racing,T,PC,,,,,,,,,2009,http://www.vgchartz.com/game/33300/death-track-resurrection/?region=All,/games/boxart/full_death-track-resurrection_4AmericaFront.jpg,53,3.5
Death's Gambit,13-Aug-18,19.99,"100,000-200,000",White Rabbit,Adult Swim Games,0,0,53405,Platform,,PS4,,,,,,,,,2019,http://www.vgchartz.com/game/222752/deaths-gambit/?region=All,/games/boxart/full_3448455AmericaFrontccc.jpg,70,6.8
DeathSpank,25-Oct-10,14.99,"100,000-200,000",Hothead Games,Electronic Arts,0,0,28040,Role-Playing,T,PC,8.2,,,,,,,,2010,http://www.vgchartz.com/game/38754/deathspank/?region=All,/games/boxart/full_deathspank_43AmericaFront.jpg,77,7.7
DeathSpank: Thongs of Virtue,30-Nov-10,14.99,"50,000-100,000",Hothead Games,Electronic Arts,0,0,28045,Role-Playing,T,PC,8.5,,,,,,,,2010,http://www.vgchartz.com/game/51757/deathspank-thongs-of-virtue/?region=All,/games/boxart/full_deathspank-thongs-of-virtue_612AmericaFront.jpg,78,7.5
Deathtrap,4-Feb-15,19.99,"100,000-200,000",NeocoreGames,NeocoreGames,35,11,12400,Action,,PC,,,0.1,,,,,,2015,http://www.vgchartz.com/game/224148/deathtrap/?region=All,/games/boxart/full_8175400AmericaFrontccc.jpg,77,7.7
Defenders of Ardania,14-Mar-12,,"20,000-50,000",Most Wanted Entertainment,Paradox Interactive,0,0,19301,Strategy,T,PC,,,,0.01,,0.01,,0,1970,http://www.vgchartz.com/game/49993/defenders-of-ardania/?region=All,/games/boxart/full_defenders-of-ardania_894AmericaFront.jpg,58,4.6
Defense Grid: The Awakening,8-Dec-08,9.99,"500,000-1,000,000",Hidden Path Entertainment,Hidden Path Entertainment,303,101,4151,Strategy,,PC,8,,0.56,,,,,,2008,http://www.vgchartz.com/game/32959/defense-grid-the-awakening/?region=All,/games/boxart/full_6549319AmericaFrontccc.jpg,81,8.8
Defense Technica,24-Oct-13,14.99,"20,000-50,000",Kuno Interactive,Kuno Interactive,0,0,28124,Misc,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/81501/defense-technica/?region=All,/games/boxart/default.jpg,63,7.7
Defiance,4-Jun-14,,"2,000,000-5,000,000",Trion Worlds,Trion Worlds,0,0,5848,Action,M,PS3,,,,0.37,0.19,0.12,,0.06,2013,http://www.vgchartz.com/game/70006/defiance/?region=All,/games/boxart/full_6218092AmericaFrontccc.png,59,6.8
Delta Force: Black Hawk Down,18-Jun-09,14.99,"50,000-100,000",NovaLogic,"NovaLogic, THQ Nordic",0,0,4916,Shooter,T,PS2,,,,0.46,0.22,0.17,,0.06,2005,http://www.vgchartz.com/game/5012/delta-force-black-hawk-down/?region=All,/games/boxart/9518901ccc.gif,58,8.8
Delta Force: Black Hawk Down,18-Jun-09,14.99,"50,000-100,000",NovaLogic,"NovaLogic, THQ Nordic",0,0,28146,Shooter,T,PC,,,,,,,,,2003,http://www.vgchartz.com/game/30804/delta-force-black-hawk-down/?region=All,/games/boxart/full_9945758AmericaFrontccc.jpg,77,7.7
Delta Force: Task Force Dagger,18-Jun-09,9.99,"20,000-50,000",NovaLogic,"NovaLogic, THQ Nordic",0,0,28151,Shooter,T,PC,,,,,,,,,2002,http://www.vgchartz.com/game/25310/delta-force-task-force-dagger/?region=All,/games/boxart/7337368ccc.png,51,7.5
Delta Force: Xtreme,18-Jun-09,19.99,"0-20,000",NovaLogic,"NovaLogic, THQ Nordic",0,0,28154,Shooter,T,PC,,,,,,,,,2005,http://www.vgchartz.com/game/35524/delta-force-xtreme/?region=All,/games/boxart/full_1513547AmericaFrontccc.jpg,65,5.7
Demigod,14-Dec-11,9.99,"100,000-200,000",Gas Powered Games,Stardock Entertainment,0,0,17436,Strategy,T,PC,7.2,,,0.02,,0.02,,0,2009,http://www.vgchartz.com/game/26398/demigod/?region=All,/games/boxart/5051165ccc.jpg,76,7.7
Democracy 3,14-Oct-13,24.99,"500,000-1,000,000",Positech Games,Positech Games,0,0,3421,Misc,,PC,,,0.69,,,,,,2013,http://www.vgchartz.com/game/82180/democracy-3/?region=All,/games/boxart/full_1112014AmericaFrontccc.jpg,70,7.1
Deponia,6-Aug-12,9.99,"1,000,000-2,000,000",Daedalic Entertainment,Daedalic Entertainment,0,0,3195,Adventure,,PC,,,0.74,,,,,,2012,http://www.vgchartz.com/game/38758/deponia/?region=All,/games/boxart/full_deponia_300PALFront.jpg,74,8.2
Deponia Doomsday,1-Mar-16,19.99,"200,000-500,000",Daedalic Entertainment,Daedalic Entertainment,0,0,11335,Adventure,T,PC,,,0.12,,,,,,2016,http://www.vgchartz.com/game/93686/deponia-doomsday/?region=All,/games/boxart/full_768589PALFrontccc.jpeg,76,7
Derrick the Deathfin,16-Jun-14,7.99,"0-20,000",different cloth,different cloth,0,0,28228,Adventure,,PS3,,,,,,,,,2012,http://www.vgchartz.com/game/83182/derrick-the-deathfin/?region=All,/games/boxart/full_9885549AmericaFrontccc.jpg,72,8.1
Descent 3,15-Apr-14,9.99,"0-20,000",Outrage Entertainment,Interplay Inc.,0,0,20836,Shooter,T,PC,,,,0,,0,,0,2000,http://www.vgchartz.com/game/25003/descent-3/?region=All,/games/boxart/full_descent-3_368AmericaFront.jpg,89,8.1
Desktop Dungeons,7-Nov-13,14.99,"100,000-200,000",QCF Design,QCF Design,0,0,53427,Role-Playing,,PC,8.5,,,,,,,,2013,http://www.vgchartz.com/game/220870/desktop-dungeons/?region=All,/games/boxart/full_6017142AmericaFrontccc.jpg,82,7.7
Detention,12-Jan-17,11.99,"500,000-1,000,000",RedCandleGames,"RedCandleGames, AGM PLAYISM",0,0,7797,Adventure,,PC,,,0.24,,,,,,2017,http://www.vgchartz.com/game/223498/detention/?region=All,/games/boxart/full_1100613AmericaFrontccc.jpg,83,7.7
Deus Ex: Invisible War,29-Mar-07,6.99,"1,000,000-2,000,000",Ion Storm,Square Enix,0,0,20763,Shooter,M,PC,8.5,,,0,,0,,0,2003,http://www.vgchartz.com/game/7315/deus-ex-invisible-war/?region=All,/games/boxart/full_deus-ex-invisible-war_48AmericaFront.jpg,80,6.4
Deus Ex: Mankind Divided,23-Aug-16,29.99,"1,000,000-2,000,000","Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)",0,0,3296,Role-Playing,M,PS4,,,,0.72,0.25,0.34,0.01,0.12,2016,http://www.vgchartz.com/game/85342/deus-ex-mankind-divided/?region=All,/games/boxart/full_1199034PALFrontccc.jpg,84,7.6
Deus Ex: Mankind Divided,23-Aug-16,29.99,"1,000,000-2,000,000","Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)",0,0,14084,Role-Playing,,PC,,,,0.07,,0.06,,0,2016,http://www.vgchartz.com/game/85343/deus-ex-mankind-divided/?region=All,/games/boxart/full_5071080PALFrontccc.jpg,83,6.6
Deus Ex: The Fall,18-Mar-14,9.99,"500,000-1,000,000",Square Enix,Square Enix,0,0,9323,Misc,,PC,,,0.18,,,,,,2014,http://www.vgchartz.com/game/79156/deus-ex-the-fall/?region=All,/games/boxart/full_1565389AmericaFrontccc.jpg,45,2.9
Devil Daggers,18-Feb-16,4.99,"200,000-500,000",Sorath,Sorath,0,0,12288,Shooter,,PC,,,0.1,,,,,,2016,http://www.vgchartz.com/game/224172/devil-daggers/?region=All,/games/boxart/full_2795029AmericaFrontccc.jpg,83,7.1
Devil May Cry 4,22-Dec-09,19.99,"200,000-500,000",Capcom,Capcom,0,0,1382,Action,M,PS3,8.2,8.2,,1.58,0.58,0.45,0.34,0.2,2008,http://www.vgchartz.com/game/7683/devil-may-cry-4/?region=All,/games/boxart/full_1783749AmericaFrontccc.jpg,84,8.2
Devil May Cry 4,22-Dec-09,19.99,"200,000-500,000",Capcom,Capcom,0,0,1706,Action,M,X360,8.5,,,1.34,0.79,0.34,0.08,0.13,2008,http://www.vgchartz.com/game/7684/devil-may-cry-4/?region=All,/games/boxart/full_7623118AmericaFrontccc.jpg,84,8.1
Devil May Cry 4,22-Dec-09,19.99,"200,000-500,000",Capcom,Capcom,0,0,6746,Action,M,PC,7.5,,0.3,,,,,,2008,http://www.vgchartz.com/game/14143/devil-may-cry-4/?region=All,/games/boxart/137826ccc.jpg,78,8.5
Devil May Cry HD Collection,13-Mar-18,29.99,"100,000-200,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2,0,3268,Action,,PS3,,,0.72,,,,,,2012,http://www.vgchartz.com/game/51571/devil-may-cry-hd-collection/?region=All,/games/boxart/full_devil-may-cry-hd-collection_289PALFront.jpg,74,8.6
Devil May Cry HD Collection,13-Mar-18,29.99,"100,000-200,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2,0,5757,Action,M,X360,,,0.38,,,,,,2012,http://www.vgchartz.com/game/64847/devil-may-cry-hd-collection/?region=All,/games/boxart/full_6429613AmericaFrontccc.jpg,77,8.5
Devil May Cry HD Collection,13-Mar-18,29.99,"100,000-200,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2,0,8607,Action,,PS4,,,,0.21,0.1,0.06,0.02,0.03,2018,http://www.vgchartz.com/game/220929/devil-may-cry-hd-collection/?region=All,/games/boxart/full_9202392AmericaFrontccc.jpg,60,5.5
Dex,7-May-15,19.99,"200,000-500,000",Dreadlocks Ltd.,"Dreadlocks Ltd., Techland, WhisperGames",0,0,53442,Role-Playing,M,PS4,,,,,,,,,2016,http://www.vgchartz.com/game/222506/dex/?region=All,/games/boxart/full_7028341PALFrontccc.jpg,67,6.8
Dex,7-May-15,19.99,"200,000-500,000",Dreadlocks Ltd.,"Dreadlocks Ltd., Techland, WhisperGames",0,0,53444,Role-Playing,M,PC,,,,,,,,,2015,http://www.vgchartz.com/game/222508/dex/?region=All,/games/boxart/full_8476505AmericaFrontccc.jpg,62,7.7
DiRT 4,9-Jun-17,59.99,"200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,4678,Racing,T,PS4,,,,0.49,0.1,0.3,0.02,0.07,2017,http://www.vgchartz.com/game/158226/dirt-4/?region=All,/games/boxart/full_9133856AmericaFrontccc.jpg,85,7.5
DiRT 4,9-Jun-17,59.99,"200,000-500,000","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,18727,Racing,,PC,,5.5,,0.01,,0.01,,0,2017,http://www.vgchartz.com/game/158222/dirt-4/?region=All,/games/boxart/full_8843557PALFrontccc.jpg,78,5.8
DiRT Rally,7-Dec-15,39.99,"1,000,000-2,000,000","Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",4,1,4502,Racing,E,PS4,,,,0.51,0.13,0.3,,0.08,2016,http://www.vgchartz.com/game/86260/dirt-rally/?region=All,/games/boxart/full_3743977AmericaFrontccc.jpg,85,8
DiRT Rally,7-Dec-15,39.99,"1,000,000-2,000,000","Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",4,1,16282,Racing,,PC,,,,0.04,,0.03,,0,2015,http://www.vgchartz.com/game/85423/dirt-rally/?region=All,/games/boxart/full_1285120PALFrontccc.jpg,86,8.7
Dirty Bomb,15-Jun,,"5,000,000-10,000,000",Splash Damage,Warchest Ltd.,807,670,53472,Shooter,,PC,,,,,,,,,,http://www.vgchartz.com/game/224142/dirty-bomb/?region=All,/games/boxart/default.jpg,63,7.7
Disc Jam,7-Mar-17,14.99,"100,000-200,000",High Horse Entertainment,High Horse Entertainment,0,0,53474,Sports,E,PS4,,,,,,,,,,http://www.vgchartz.com/game/221095/disc-jam/?region=All,/games/boxart/default.jpg,72,6.4
Disciples II: Rise of the Elves,6-Jul-06,6.99,"50,000-100,000",Strategy First,Strategy First,0,0,28511,Strategy,T,PC,,,,,,,,,2003,http://www.vgchartz.com/game/25249/disciples-ii-rise-of-the-elves/?region=All,/games/boxart/full_708604AmericaFrontccc.jpg,80,8
Dishonored,8-Oct-12,9.99,"2,000,000-5,000,000",Arkane Studios,Bethesda Softworks,0,0,1219,Shooter,M,X360,,,,1.72,1.06,0.5,0.01,0.15,2013,http://www.vgchartz.com/game/52942/dishonored/?region=All,/games/boxart/full_5056051AmericaFrontccc.jpg,88,7.9
Dishonored,8-Oct-12,9.99,"2,000,000-5,000,000",Arkane Studios,Bethesda Softworks,0,0,1407,Shooter,,PS3,,,,1.55,0.72,0.54,0.04,0.26,2013,http://www.vgchartz.com/game/52941/dishonored/?region=All,/games/boxart/full_3488745AmericaFrontccc.png,89,7.9
Dishonored,8-Oct-12,9.99,"2,000,000-5,000,000",Arkane Studios,Bethesda Softworks,0,0,4458,Action,,PC,,,,0.51,0.27,0.19,,0.05,2013,http://www.vgchartz.com/game/52943/dishonored/?region=All,/games/boxart/full_7566381AmericaFrontccc.jpeg,91,8.4
Dishonored 2,11-Nov-16,39.99,"1,000,000-2,000,000",Arkane Studios,Bethesda Softworks,1,0,1036,Action,M,PS4,,,,1.97,0.62,1.02,0.01,0.31,2016,http://www.vgchartz.com/game/85661/dishonored-2/?region=All,/games/boxart/full_2293744AmericaFrontccc.jpg,88,7.9
Dishonored 2,11-Nov-16,39.99,"1,000,000-2,000,000",Arkane Studios,Bethesda Softworks,1,0,7461,Action,,PC,,,,0.26,0.08,0.17,,0.02,2016,http://www.vgchartz.com/game/85660/dishonored-2/?region=All,/games/boxart/full_7660779PALFrontccc.jpg,86,6.7
Dishonored: Death of the Outsider,14-Sep-17,29.99,"200,000-500,000",Arkane Studios,Bethesda Softworks,0,0,6236,Action,M,PS4,,,,0.33,0.1,0.18,,0.05,2017,http://www.vgchartz.com/game/182729/dishonored-death-of-the-outsider/?region=All,/games/boxart/full_5936185AmericaFrontccc.jpg,82,7.1
Dishonored: Death of the Outsider,14-Sep-17,29.99,"200,000-500,000",Arkane Studios,Bethesda Softworks,0,0,9746,Action,M,PC,,,0.17,,,,,,2017,http://www.vgchartz.com/game/182728/dishonored-death-of-the-outsider/?region=All,/games/boxart/full_8753087AmericaFrontccc.jpg,81,7.1
Disney Epic Mickey 2: The Power of Two,18-Nov-12,19.99,"20,000-50,000",Junction Point,Disney Interactive,0,0,4399,Platform,E,X360,,,,0.52,0.32,0.15,,0.05,2012,http://www.vgchartz.com/game/70666/disney-epic-mickey-2-the-power-of-two/?region=All,/games/boxart/full_7619495AmericaFrontccc.jpg,59,5.5
Disney Epic Mickey 2: The Power of Two,18-Nov-12,19.99,"20,000-50,000",Junction Point,Disney Interactive,0,0,4726,Platform,E,PS3,,,,0.48,0.21,0.19,,0.08,2012,http://www.vgchartz.com/game/70665/disney-epic-mickey-2-the-power-of-two/?region=All,/games/boxart/full_6405115AmericaFrontccc.jpg,59,4.2
Disney Universe,25-Oct-11,19.99,"0-20,000",Eurocom,Disney Interactive,0,0,3733,Action,E10,PS3,7.4,,,0.62,0.3,0.23,,0.09,2011,http://www.vgchartz.com/game/51385/disney-universe/?region=All,/games/boxart/full_disney-universe_255AmericaFront.jpg,70,6.9
Disney Universe,25-Oct-11,19.99,"0-20,000",Eurocom,Disney Interactive,0,0,4058,Action,E10,X360,6.7,,,0.57,0.37,0.14,,0.05,2011,http://www.vgchartz.com/game/51386/disney-universe/?region=All,/games/boxart/full_disney-universe_588AmericaFront.jpg,66,5.6
Disney's Aladdin,18-Dec-17,,"0-20,000",Virgin Games,Disney Interactive,0,0,16824,Platform,E,GBA,5.9,,,0.03,0.02,0.01,,0,2004,http://www.vgchartz.com/game/15118/disneys-aladdin/?region=All,/games/boxart/4166250ccc.jpg,59,tbd
Disney's Chicken Little,20-Oct-05,9.99,"0-20,000",Avalanche Software,Disney Interactive,0,0,3576,Platform,E10,PS2,6.3,,,0.65,0.32,0.25,,0.08,2005,http://www.vgchartz.com/game/4958/disneys-chicken-little/?region=All,/games/boxart/1782584ccc.jpg,60,8.6
Disney's Chicken Little,20-Oct-05,9.99,"0-20,000",Avalanche Software,Disney Interactive,0,0,7258,Platform,E10,GC,7,,,0.27,0.21,0.05,,0.01,2005,http://www.vgchartz.com/game/351/disneys-chicken-little/?region=All,/games/boxart/2545376ccc.jpg,67,tbd
Disney's Chicken Little: Ace in Action,7-Dec-06,19.99,"0-20,000",Avalanche Software,Disney Interactive,0,0,28581,Shooter,E10,PS2,7,,,,,,,,2006,http://www.vgchartz.com/game/352/disneys-chicken-little-ace-in-action/?region=All,/games/boxart/7431648ccc.gif,69,tbd
Divekick,20-Aug-13,4.99,"200,000-500,000",Iron Galaxy,Iron Galaxy,0,0,28648,Misc,,PS3,,,,,,,,,2013,http://www.vgchartz.com/game/75580/divekick/?region=All,/games/boxart/default.jpg,65,7.1
Divinity: Dragon Commander,6-Aug-13,39.99,"200,000-500,000",Larian Studios,Larian Studios,0,0,7369,Role-Playing,,PC,,,0.27,,,,,,2003,http://www.vgchartz.com/game/223631/divinity-dragon-commander/?region=All,/games/boxart/full_6320495AmericaFrontccc.jpg,76,7.1
Do Not Fall,18-Dec-14,9.99,"0-20,000",XPEC Entertainment Inc.,XPEC Entertainment Inc.,0,0,28675,Misc,,PS3,,,,,,,,,2013,http://www.vgchartz.com/game/74676/do-not-fall/?region=All,/games/boxart/default.jpg,67,tbd
Doc Clock: The Toasted Sandwich of Time,15-Oct-10,4.99,"50,000-100,000",Stickmen Studios,Stickmen Studios,0,0,28677,Puzzle,E,PC,,,,,,,,,2010,http://www.vgchartz.com/game/48770/doc-clock-the-toasted-sandwich-of-time/?region=All,/games/boxart/full_doc-clock-the-toasted-sandwich-of-time_689AmericaFront.jpg,62,6.3
DoDonPachi Resurrection,13-Oct-16,29.99,"20,000-50,000","CAVE Interactive CO.,LTD.",Degica,0,0,15063,Shooter,,X360,,,,0.05,,0.04,,0.01,2011,http://www.vgchartz.com/game/46801/dodonpachi-resurrection/?region=All,/games/boxart/full_dodonpachi-resurrection-15-ver_333JapanFront.jpg,77,8.4
Dogfight 1942,21-Sep-12,0.99,"100,000-200,000",City Interactive,CI Games,0,0,28706,Misc,,X360,,,,,,,,,2012,http://www.vgchartz.com/game/75687/dogfight-1942/?region=All,/games/boxart/default.jpg,59,5.6
Dominions 3: The Awakening,10-Sep-13,19.99,"20,000-50,000",Illwinter Game Design,Illwinter Game Design,0,0,28754,Misc,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/81485/dominions-3-the-awakening/?region=All,/games/boxart/default.jpg,82,7.6
Don't Knock Twice,5-Sep-17,19.99,"20,000-50,000",Wales Interactive,Wales Interactive,0,0,16727,Adventure,,PS4,,,,0.03,0.02,,,0.01,2018,http://www.vgchartz.com/game/221239/dont-knock-twice/?region=All,/games/boxart/full_685858AmericaFrontccc.jpg,56,5.6
Donut County,28-Aug-18,12.99,"50,000-100,000",Ben Esposito,Annapurna Interactive,0,0,28807,Adventure,,PC,,,,,,,,,2018,http://www.vgchartz.com/game/84302/donut-county/?region=All,/games/boxart/full_3353185AmericaFrontccc.jpg,77,7.5
Donut County,28-Aug-18,12.99,"50,000-100,000",Ben Esposito,Annapurna Interactive,0,0,53494,Adventure,,PS4,,,,,,,,,2018,http://www.vgchartz.com/game/221937/donut-county/?region=All,/games/boxart/full_4653528AmericaFrontccc.png,75,5.7
DOOM VFR,30-Nov-17,29.99,"100,000-200,000",id Software,Bethesda Softworks,0,0,4146,Shooter,M,PS4,,8,,0.56,0.22,0.25,,0.09,2017,http://www.vgchartz.com/game/213658/doom-vfr/?region=All,/games/boxart/full_3895260AmericaFrontccc.jpg,72,6.7
DOOM VFR,30-Nov-17,29.99,"100,000-200,000",id Software,Bethesda Softworks,0,0,20396,Shooter,,PC,,,,0,,0,,0,2017,http://www.vgchartz.com/game/213657/doom-vfr/?region=All,/games/boxart/full_8053155PALFrontccc.jpg,69,5.1
Door Kickers,20-Oct-14,19.99,"500,000-1,000,000",KillHouse Games,KillHouse Games,16,10,4217,Strategy,,PC,,,0.55,,,,,,2013,http://www.vgchartz.com/game/81190/door-kickers/?region=All,/games/boxart/full_3339314AmericaFrontccc.jpg,83,7.7
Dota 2,9-Jul-13,,"100,000,000-200,000,000",Valve,Valve,1498,806,28891,Strategy,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/53168/dota-2/?region=All,/games/boxart/full_4702737AmericaFrontccc.jpg,90,6.5
Double Dragon: Neon,6-Feb-14,9.99,"100,000-200,000","WayForward, Abstraction Games","Midnight City, Majesco Entertainment",0,0,28929,Misc,,PS3,,,,,,,,,1995,http://www.vgchartz.com/game/70931/double-dragon-neon/?region=All,/games/boxart/default.jpg,71,7.1
Double Dragon: Neon,6-Feb-14,9.99,"100,000-200,000","WayForward, Abstraction Games","Midnight City, Majesco Entertainment",0,0,28930,Misc,,X360,,,,,,,,,1995,http://www.vgchartz.com/game/70933/double-dragon-neon/?region=All,/games/boxart/default.jpg,66,7.3
Downward Spiral: Horus Station,31-May-18,19.99,"0-20,000",3rd Eye Studios,3rd Eye Studios,0,0,53507,Action-Adventure,,PS4,,,,,,,,,2018,http://www.vgchartz.com/game/222827/downward-spiral-horus-station/?region=All,/games/boxart/full_5126275AmericaFrontccc.jpg,61,tbd
Downward Spiral: Horus Station,31-May-18,19.99,"0-20,000",3rd Eye Studios,3rd Eye Studios,0,0,53508,Action-Adventure,,PC,,,,,,,,,2018,http://www.vgchartz.com/game/222828/downward-spiral-horus-station/?region=All,/games/boxart/full_5979013AmericaFrontccc.jpg,65,tbd
Downwell,15-Oct-15,2.99,"200,000-500,000",Moppin,Devolver Digital,0,0,6936,Platform,,PC,,,0.29,,,,,,2016,http://www.vgchartz.com/game/223588/downwell/?region=All,/games/boxart/full_5005338AmericaFrontccc.jpg,81,6.5
Dracula 3: The Path of the Dragon,17-Apr-14,7.99,"20,000-50,000",Microids,Microids,0,0,29038,Adventure,T,PC,,,,,,,,,2008,http://www.vgchartz.com/game/24729/dracula-3-the-path-of-the-dragon/?region=All,/games/boxart/5055280ccc.jpg,65,7.2
Dracula: The Resurrection,17-Apr-14,4.99,"50,000-100,000",Microids,Microids,0,0,29043,Adventure,M,PC,,,,,,,,,2000,http://www.vgchartz.com/game/43601/dracula-the-resurrection/?region=All,/games/boxart/full_5815711AmericaFrontccc.jpg,67,6.7
Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0,0,717,Role-Playing,M,X360,8.5,,,2.56,1.76,0.55,0.03,0.22,2009,http://www.vgchartz.com/game/33505/dragon-age-origins/?region=All,/games/boxart/full_9613529AmericaFrontccc.jpg,86,7.9
Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0,0,1286,Role-Playing,M,PS3,8.7,,,1.67,0.96,0.42,0.08,0.21,2009,http://www.vgchartz.com/game/33502/dragon-age-origins/?region=All,/games/boxart/full_3173221AmericaFrontccc.jpg,87,8
Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0,0,4527,Role-Playing,M,PC,9.1,,,0.5,,0.46,,0.04,2009,http://www.vgchartz.com/game/33504/dragon-age-origins/?region=All,/games/boxart/full_5223684AmericaFrontccc.jpg,91,8.7
Dragon Rage,22-Jul-16,6.99,"0-20,000",Bulletproof Outlaws,Bulletproof Outlaws,0,0,14582,Shooter,T,PS2,,,,0.06,0.03,0.02,,0.01,2001,http://www.vgchartz.com/game/571/dragon-rage/?region=All,/games/boxart/488402ccc.jpg,50,6.3
Dragon's Dogma: Dark Arisen,15-Jan-16,29.99,"1,000,000-2,000,000",Capcom,Capcom,0,0,2489,Role-Playing,M,PC,,,0.97,,,,,,2016,http://www.vgchartz.com/game/221140/dragons-dogma-dark-arisen/?region=All,/games/boxart/full_4696396AmericaFrontccc.jpg,81,8.1
Dragon's Dogma: Dark Arisen,15-Jan-16,29.99,"1,000,000-2,000,000",Capcom,Capcom,0,0,8627,Role-Playing,M,PS4,,,,0.21,0.07,0.07,0.03,0.03,2017,http://www.vgchartz.com/game/177250/dragons-dogma-dark-arisen/?region=All,/games/boxart/full_3120911AmericaFrontccc.jpg,78,8.1
Dragon's Dogma: Dark Arisen,15-Jan-16,29.99,"1,000,000-2,000,000",Capcom,Capcom,0,0,53517,Role-Playing,M,PS3,,,,,,,,,2013,http://www.vgchartz.com/game/221138/dragons-dogma-dark-arisen/?region=All,/games/boxart/full_6270218AmericaFrontccc.jpg,80,8.2
Dragon's Dogma: Dark Arisen,15-Jan-16,29.99,"1,000,000-2,000,000",Capcom,Capcom,0,0,53529,Action,,X360,,,,,,,,,2013,http://www.vgchartz.com/game/220182/dragons-dogma-dark-arisen/?region=All,/games/boxart/full_734591PALFrontccc.jpg,77,8
Dragon's Prophet,18-Sep-13,,"200,000-500,000",Runewaker,Infernum Productions AG,0,0,29210,MMO,,PC,,,,,,,,,2018,http://www.vgchartz.com/game/74177/dragons-prophet/?region=All,/games/boxart/default.jpg,63,5.9
DreadOut,15-May-14,14.99,"200,000-500,000",Digital Happiness,Digital Happiness,0,0,10049,Adventure,,PC,,,0.16,,,,,,2009,http://www.vgchartz.com/game/223899/dreadout/?region=All,/games/boxart/full_9126311AmericaFrontccc.jpg,55,6.4
Dream Daddy: A Dad Dating Simulator,20-Jul-17,14.99,"200,000-500,000",Game Grumps,Game Grumps,0,0,6637,Simulation,,PC,,,0.31,,,,,,2009,http://www.vgchartz.com/game/223567/dream-daddy-a-dad-dating-simulator/?region=All,/games/boxart/full_8158981AmericaFrontccc.jpg,72,7.7
Dreamfall Chapters,21-Jul-17,24.99,"200,000-500,000",Red Thread Games,Red Thread Games,0,0,9175,Misc,,PC,,,0.19,,,,,,2014,http://www.vgchartz.com/game/71496/dreamfall-chapters/?region=All,/games/boxart/full_5437506AmericaFrontccc.jpg,71,7.7
Dreamfall: The Longest Journey,12-Jan-07,19.99,"100,000-200,000",Funcom,Funcom,0,0,20655,Adventure,M,PC,7.4,,,0,,0,,0,2006,http://www.vgchartz.com/game/15362/dreamfall-the-longest-journey/?region=All,/games/boxart/1254130ccc.jpg,75,8.5
Drox Operative,29-Nov-12,19.99,"20,000-50,000",Soldak Entertainment,Soldak Entertainment,0,0,29322,Misc,,PC,,,,,,,,,2012,http://www.vgchartz.com/game/81488/drox-operative/?region=All,/games/boxart/default.jpg,74,7.6
Duke Nukem 3D: 20th Anniversary World Tour,11-Oct-16,19.99,"100,000-200,000","Nerve Software, Gearbox Software, LLC",Gearbox Publishing,0,0,12962,Shooter,M,PS4,,,,0.09,0.07,,,0.02,2016,http://www.vgchartz.com/game/137633/duke-nukem-3d-20th-anniversary-world-tour/?region=All,/games/boxart/full_2726453AmericaFrontccc.jpg,77,7.5
