,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
463,Supreme Commander 2,1-Mar-10,PC,Strategy,Gas Powered Games,"1,000,000-2,000,000",Square Enix,12.99,2291,0.0,0.0,77.0,2010.0,77,6.2
464,Supreme Commander 2,1-Mar-10,X360,Strategy,Gas Powered Games,"1,000,000-2,000,000",Square Enix,12.99,6143,0.0,0.0,77.0,2010.0,75,7.1
465,Medal of Honor,12-Oct-10,PS3,Shooter,Electronic Arts,"1,000,000-2,000,000",Electronic Arts,19.99,626,0.0,0.0,72.0,2010.0,75,7.5
466,Medal of Honor,12-Oct-10,X360,Shooter,Electronic Arts,"1,000,000-2,000,000",Electronic Arts,19.99,686,0.0,0.0,72.0,2010.0,74,6.8
467,Medal of Honor,12-Oct-10,PC,Shooter,Electronic Arts,"1,000,000-2,000,000",Electronic Arts,19.99,4675,0.0,0.0,72.0,2010.0,72,6.4
468,Sniper: Ghost Warrior,24-Jun-10,X360,Shooter,City Interactive,"1,000,000-2,000,000",CI Games,2.59,2026,0.0,0.0,55.0,2010.0,45,5.8
469,Sniper: Ghost Warrior,24-Jun-10,PC,Shooter,City Interactive,"1,000,000-2,000,000",CI Games,2.59,2585,0.0,0.0,55.0,2010.0,55,5.5
470,Sniper: Ghost Warrior,24-Jun-10,PS3,Shooter,City Interactive,"1,000,000-2,000,000",CI Games,2.59,2887,0.0,0.0,55.0,2011.0,53,6.1
471,Fallout: New Vegas,19-Oct-10,PC,Role-Playing,Obsidian Entertainment,"500,000-1,000,000",Bethesda Softworks,9.99,231,364.0,242.0,84.0,2010.0,84,8.6
472,Fallout: New Vegas,19-Oct-10,X360,Role-Playing,Obsidian Entertainment,"500,000-1,000,000",Bethesda Softworks,9.99,361,364.0,242.0,84.0,2010.0,84,8.3
473,Fallout: New Vegas,19-Oct-10,PS3,Role-Playing,Obsidian Entertainment,"500,000-1,000,000",Bethesda Softworks,9.99,521,364.0,242.0,84.0,2010.0,82,7.9
474,Recettear: An Item Shop's Tale,10-Sep-10,PC,Role-Playing,EasyGameStation,"500,000-1,000,000",Carpe Fulgur LLC,19.99,42592,1.0,0.0,82.0,2010.0,82,8.7
475,Toki Tori,28-Jan-10,PC,Puzzle,Two Tribes,"500,000-1,000,000",Two Tribes Publishing,4.99,6037,0.0,0.0,80.0,2010.0,80,7.7
476,Worms Reloaded,26-Aug-10,PC,Strategy,Team17 Digital Ltd,"500,000-1,000,000",Team17 Digital Ltd,19.99,15418,0.0,0.0,79.0,2010.0,79,6.9
477,Dead Rising 2,27-Sep-10,X360,Action,Capcom Vancouver,"500,000-1,000,000",Capcom,19.99,1494,0.0,0.0,78.0,2010.0,79,7
478,Dead Rising 2,27-Sep-10,PS3,Action,Capcom Vancouver,"500,000-1,000,000",Capcom,19.99,1660,0.0,0.0,78.0,2010.0,80,6.7
479,Dead Rising 2,27-Sep-10,PC,Action,Capcom Vancouver,"500,000-1,000,000",Capcom,19.99,3695,0.0,0.0,78.0,2010.0,78,6.5
480,Victoria II,30-Aug-10,PC,Strategy,Paradox Development Studio,"500,000-1,000,000",Paradox Interactive,19.99,20061,1.0,0.0,75.0,2010.0,75,8.2
485,Puzzle Agent,10-Jul,PC,Puzzle,Telltale Games,"500,000-1,000,000",Telltale Games,4.99,41943,0.0,0.0,70.0,2010.0,70,6.9
486,Lead and Gold: Gangs of the Wild West,8-Apr-10,PC,Shooter,Fatshark,"500,000-1,000,000",Fatshark,9.99,35939,0.0,0.0,70.0,2010.0,70,8.3
487,Beat Hazard,15-Apr-10,PC,Shooter,Cold Beam Games,"500,000-1,000,000",Cold Beam Games,9.99,3833,0.0,0.0,70.0,2010.0,70,7.2
488,Kane & Lynch 2: Dog Days,17-Aug-10,PS3,Shooter,IO Interactive,"500,000-1,000,000",Square Enix,9.99,3899,1.0,0.0,66.0,2010.0,62,5.2
489,Kane & Lynch 2: Dog Days,17-Aug-10,X360,Shooter,IO Interactive,"500,000-1,000,000",Square Enix,9.99,4649,1.0,0.0,66.0,2010.0,63,5.2
490,Kane & Lynch 2: Dog Days,17-Aug-10,PC,Shooter,IO Interactive,"500,000-1,000,000",Square Enix,9.99,5013,1.0,0.0,66.0,2010.0,66,5.8
491,Shatter,15-Mar-10,PC,Puzzle,Sidhe,"200,000-500,000",PikPok,9.99,7576,0.0,0.0,84.0,2010.0,84,7.3
492,Bejeweled 3,7-Dec-10,DS,Puzzle,"PopCap Games, Inc.","200,000-500,000","PopCap Games, Inc.",4.99,6214,34.0,11.0,82.0,2011.0,75,tbd
493,Bejeweled 3,7-Dec-10,PC,Puzzle,"PopCap Games, Inc.","200,000-500,000","PopCap Games, Inc.",4.99,6804,34.0,11.0,82.0,2010.0,82,7.8
494,Bejeweled 3,7-Dec-10,X360,Puzzle,"PopCap Games, Inc.","200,000-500,000","PopCap Games, Inc.",4.99,10651,34.0,11.0,82.0,2011.0,78,8.4
495,LEGO Harry Potter: Years 1-4,25-Jun-10,DS,Adventure,TT Games,"200,000-500,000",Warner Bros. Interactive Entertainment,19.99,838,0.0,0.0,79.0,2010.0,72,7.2
496,LEGO Harry Potter: Years 1-4,25-Jun-10,X360,Adventure,TT Games,"200,000-500,000",Warner Bros. Interactive Entertainment,19.99,1371,0.0,0.0,79.0,2010.0,79,8
497,LEGO Harry Potter: Years 1-4,25-Jun-10,PS3,Adventure,TT Games,"200,000-500,000",Warner Bros. Interactive Entertainment,19.99,1672,0.0,0.0,79.0,2010.0,79,8
498,LEGO Harry Potter: Years 1-4,25-Jun-10,PC,Adventure,TT Games,"200,000-500,000",Warner Bros. Interactive Entertainment,19.99,14922,0.0,0.0,79.0,2010.0,79,7.7
499,King's Bounty: Crossworlds,17-Sep-10,PC,Strategy,Katauri Interactive,"200,000-500,000",1C Entertainment,14.99,35394,0.0,0.0,78.0,2010.0,78,8.5
500,Greed Corp,10-Dec-10,PC,Strategy,Vanguard Games,"200,000-500,000",Vanguard Entertainment Group,9.99,9737,0.0,0.0,76.0,2010.0,76,7.1
501,Prince of Persia: The Forgotten Sands,8-Jun-10,PS3,Action,Ubisoft Montreal,"200,000-500,000",Ubisoft,9.99,3410,0.0,0.0,75.0,2010.0,75,7.4
502,Prince of Persia: The Forgotten Sands,8-Jun-10,X360,Action,Ubisoft Montreal,"200,000-500,000",Ubisoft,9.99,3752,0.0,0.0,75.0,2010.0,74,7.8
503,Prince of Persia: The Forgotten Sands,8-Jun-10,PSP,Action,Ubisoft Montreal,"200,000-500,000",Ubisoft,9.99,5799,0.0,0.0,75.0,2010.0,65,7.3
504,Prince of Persia: The Forgotten Sands,8-Jun-10,DS,Action,Ubisoft Montreal,"200,000-500,000",Ubisoft,9.99,10217,0.0,0.0,75.0,2010.0,57,6.3
505,Prince of Persia: The Forgotten Sands,8-Jun-10,PC,Action,Ubisoft Montreal,"200,000-500,000",Ubisoft,9.99,16568,0.0,0.0,75.0,2010.0,75,6.7
506,Avencast: Rise of the Mage,17-Mar-10,PC,Role-Playing,ClockStone Studios,"200,000-500,000",Meridian4,9.99,23540,0.0,0.0,68.0,2007.0,68,7.1
507,The Ball,26-Oct-10,PC,Shooter,Teotl Studios,"200,000-500,000",Tripwire Interactive,9.99,9171,0.0,0.0,68.0,2011.0,68,6.4
508,Shank,25-Oct-10,PC,Action,Klei Entertainment,"200,000-500,000",Klei Entertainment,9.99,44273,0.0,0.0,67.0,2010.0,67,6.8
509,X: Beyond the Frontier,8-Oct-10,PC,Simulation,Egosoft,"200,000-500,000",Egosoft,4.99,51956,0.0,0.0,67.0,2000.0,67,7.4
510,Alien Breed 3: Descent,17-Nov-10,PC,Shooter,Team17 Digital Ltd,"200,000-500,000",Team17 Digital Ltd,9.99,22339,0.0,0.0,64.0,2010.0,64,5.1
511,Alien Breed: Impact,3-Jun-10,PC,Shooter,Team17 Software Ltd.,"200,000-500,000",Team17 Digital Ltd,9.99,8812,0.0,0.0,64.0,2010.0,64,6.1
512,Command & Conquer 4: Tiberian Twilight,16-Mar-10,PC,Strategy,EA Los Angeles,"200,000-500,000",Electronic Arts,19.99,18527,0.0,0.0,64.0,2010.0,64,2.1
513,Front Mission Evolved,28-Sep-10,PS3,Shooter,Double Helix Games,"200,000-500,000",Square Enix,9.99,6818,0.0,0.0,63.0,2010.0,58,6.1
514,Front Mission Evolved,28-Sep-10,X360,Shooter,Double Helix Games,"200,000-500,000",Square Enix,9.99,8818,0.0,0.0,63.0,2010.0,58,6.1
515,Front Mission Evolved,28-Sep-10,PC,Shooter,Double Helix Games,"200,000-500,000",Square Enix,9.99,10864,0.0,0.0,63.0,2010.0,63,5.2
516,Oddworld: Munch's Oddysee,20-Dec-10,GBA,Platform,Oddworld Inhabitants,"200,000-500,000",Oddworld Inhabitants,4.99,14543,0.0,0.0,,2003.0,44,2.5
517,Puzzle Dimension,21-Jun-10,PC,Puzzle,Doctor Entertainment AB,"100,000-200,000",Doctor Entertainment AB,2.99,41965,1.0,0.0,79.0,2010.0,79,7.5
518,The Misadventures of P.B. Winterbottom,20-Apr-10,PC,Puzzle,The Odd Gentlemen,"100,000-200,000",2K,4.99,11153,0.0,0.0,79.0,2010.0,79,8.1
519,DeathSpank,25-Oct-10,PC,Role-Playing,Hothead Games,"100,000-200,000",Electronic Arts,14.99,28040,0.0,0.0,77.0,2010.0,77,7.7
520,Plain Sight,5-Apr-10,PC,Action,Beatnik Games,"100,000-200,000",Beatnik Games,4.99,10361,0.0,0.0,76.0,2010.0,76,7.7
521,Singularity,30-Jun-10,X360,Shooter,Raven Software,"100,000-200,000",Activision,29.99,6498,0.0,0.0,76.0,2010.0,76,7.7
522,Singularity,30-Jun-10,PS3,Shooter,Raven Software,"100,000-200,000",Activision,29.99,7981,0.0,0.0,76.0,2010.0,77,7.7
523,Singularity,30-Jun-10,PC,Shooter,Raven Software,"100,000-200,000",Activision,29.99,15281,0.0,0.0,76.0,2010.0,76,7.7
524,Flotilla,29-Mar-10,PC,Strategy,Blendo Games,"100,000-200,000",Blendo Games,9.99,31141,0.0,0.0,72.0,2010.0,72,7.3
525,Jolly Rover,7-Jun-10,PC,Adventure,Brawsome,"100,000-200,000",Brawsome,9.99,21029,0.0,0.0,71.0,2010.0,71,7.7
526,nail'd,30-Nov-10,PS3,Racing,Techland,"100,000-200,000",Deep Silver,4.99,11484,0.0,0.0,69.0,2010.0,66,6.2
527,nail'd,30-Nov-10,X360,Racing,Techland,"100,000-200,000",Deep Silver,4.99,12449,0.0,0.0,69.0,2010.0,64,7.1
528,nail'd,30-Nov-10,PC,Racing,Techland,"100,000-200,000",Deep Silver,4.99,19715,0.0,0.0,69.0,2010.0,69,7.7
529,AquaNox,20-Apr-10,PC,Simulation,THQ Nordic,"100,000-200,000",THQ Nordic,4.99,22895,0.0,0.0,67.0,2001.0,67,7.7
530,Lost Planet 2,15-Oct-10,PS3,Shooter,"CAPCOM CO., LTD.","100,000-200,000",Capcom,19.99,2549,0.0,0.0,63.0,2010.0,68,7
531,Lost Planet 2,15-Oct-10,X360,Shooter,"CAPCOM CO., LTD.","100,000-200,000",Capcom,19.99,3139,0.0,0.0,63.0,2010.0,68,6.2
532,Lost Planet 2,15-Oct-10,PC,Shooter,"CAPCOM CO., LTD.","100,000-200,000",Capcom,19.99,17233,0.0,0.0,63.0,2010.0,63,6.3
533,Silent Hunter 5: Battle of the Atlantic,10-Mar,PC,Simulation,Ubisoft Romania,"100,000-200,000",Ubisoft,9.99,7672,0.0,0.0,62.0,2010.0,62,3.6
534,AquaNox 2: Revelation,20-Apr-10,PC,Simulation,THQ Nordic,"100,000-200,000",THQ Nordic,4.99,22896,0.0,0.0,59.0,2003.0,59,7.6
535,Age of Wonders II: The Wizard's Throne,10-Oct,PC,Strategy,Triumph Studios,"50,000-100,000",Paradox Interactive,2.49,22060,0.0,0.0,86.0,2002.0,86,8.5
537,Split/Second,18-May-10,PS3,Racing,Black Rock Studio,"50,000-100,000",Disney Interactive,19.99,3226,0.0,0.0,79.0,2010.0,84,8.1
538,Split/Second,18-May-10,X360,Racing,Black Rock Studio,"50,000-100,000",Disney Interactive,19.99,3848,0.0,0.0,79.0,2010.0,82,8.1
539,Split/Second,18-May-10,PSP,Racing,Black Rock Studio,"50,000-100,000",Disney Interactive,19.99,10938,0.0,0.0,79.0,2010.0,63,6.7
540,Split/Second,18-May-10,PC,Racing,Black Rock Studio,"50,000-100,000",Disney Interactive,19.99,15796,0.0,0.0,79.0,2010.0,79,8.1
541,DeathSpank: Thongs of Virtue,30-Nov-10,PC,Role-Playing,Hothead Games,"50,000-100,000",Electronic Arts,14.99,28045,0.0,0.0,78.0,2010.0,78,7.5
542,Lost Horizon,24-Sep-10,PC,Adventure,Animation Arts,"50,000-100,000",Deep Silver,9.99,11827,0.0,0.0,77.0,2010.0,77,7.7
543,Sol Survivor,15-Mar-10,PC,Strategy,Cadenza Interactive,"50,000-100,000",Cadenza Interactive,9.99,45365,0.0,0.0,75.0,2010.0,75,7.9
544,Lost Planet: Extreme Condition Colonies Edition,11-Feb-10,X360,Shooter,"CAPCOM CO., LTD.","50,000-100,000",Capcom,19.99,20376,0.0,0.0,70.0,2008.0,78,8.1
545,Lost Planet: Extreme Condition Colonies Edition,11-Feb-10,PC,Shooter,"CAPCOM CO., LTD.","50,000-100,000",Capcom,19.99,36381,0.0,0.0,70.0,2008.0,70,7.4
546,Commander: Conquest of the Americas,30-Jul-10,PC,Strategy,Nitro Games,"50,000-100,000",Nitro Games,9.99,16915,0.0,0.0,68.0,2010.0,68,5.2
547,Fantasy Wars,6-Aug-10,PC,Strategy,Ino-Co,"50,000-100,000",1C Entertainment,4.99,20932,0.0,0.0,67.0,2007.0,67,8.1
548,LEGO Indiana Jones 2: The Adventure Continues,18-Feb-10,X360,Adventure,Traveller's Tales,"50,000-100,000","LucasArts, Lucasfilm, Disney Interactive",19.99,2346,0.0,0.0,66.0,2009.0,71,7.3
549,LEGO Indiana Jones 2: The Adventure Continues,18-Feb-10,PS3,Adventure,Traveller's Tales,"50,000-100,000","LucasArts, Lucasfilm, Disney Interactive",19.99,2689,0.0,0.0,66.0,2009.0,70,7.2
550,LEGO Indiana Jones 2: The Adventure Continues,18-Feb-10,PC,Adventure,Traveller's Tales,"50,000-100,000","LucasArts, Lucasfilm, Disney Interactive",19.99,15310,0.0,0.0,66.0,2009.0,66,7.5
551,Blacklight: Tango Down,14-Jul-10,PC,Shooter,Zombie Studios,"50,000-100,000",Ignition Entertainment,0.99,24685,0.0,0.0,65.0,2010.0,65,5.4
552,Doc Clock: The Toasted Sandwich of Time,15-Oct-10,PC,Puzzle,Stickmen Studios,"50,000-100,000",Stickmen Studios,4.99,28677,0.0,0.0,62.0,2010.0,62,6.3
553,Hotel Giant 2,27-Jan-10,PC,Strategy,"Enlight Software Limited, PerspectX","50,000-100,000",Toplitz Productions,7.99,16333,0.0,0.0,58.0,2010.0,58,2.5
554,Dark Void,19-Jan-10,PS3,Action,Airtight Games,"50,000-100,000",Capcom,9.99,6008,0.0,0.0,57.0,2010.0,59,6.1
555,Dark Void,19-Jan-10,X360,Action,Airtight Games,"50,000-100,000",Capcom,9.99,6582,0.0,0.0,57.0,2010.0,59,5.8
556,Dark Void,19-Jan-10,PC,Action,Airtight Games,"50,000-100,000",Capcom,9.99,18330,0.0,0.0,57.0,2010.0,57,5.3
557,Nancy Drew: Warnings at Waverly Academy,13-Jan-10,PC,Adventure,HeR Interactive,"20,000-50,000",HeR Interactive,6.99,38908,0.0,0.0,76.0,2009.0,76,7
558,The UnderGarden,10-Nov-10,PC,Puzzle,Artech Studios,"20,000-50,000",Retroism,6.99,48958,0.0,0.0,67.0,2010.0,67,5.8
559,Battlefield: Bad Company 2 Vietnam,18-Dec-10,PC,Shooter,DICE,"0-20,000",Electronic Arts,14.99,24182,0.0,0.0,86.0,2010.0,86,8
560,Serious Sam HD: The Second Encounter,28-Apr-10,PC,Shooter,Croteam,"0-20,000",Devolver Digital,19.99,44136,0.0,0.0,76.0,2010.0,76,8
561,Hearts of Iron III: Semper Fi,7-Jun-10,PC,Strategy,Paradox Development Studio,"0-20,000",Paradox Interactive,4.99,33211,0.0,0.0,65.0,2010.0,65,5.7
565,Cradle of Rome,20-Feb-10,DS,Puzzle,Awem Studio,"0-20,000",iWin,9.99,7896,0.0,0.0,,2008.0,63,tbd
566,Puzzle Chronicles,21-Apr-10,PSP,Puzzle,Infinite Interactive,"0-20,000","Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",9.99,12162,0.0,0.0,,2010.0,62,tbd
567,Portal 2,18-Apr-11,PC,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,56,147.0,154.0,95.0,2011.0,95,9
568,Portal 2,18-Apr-11,X360,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,954,147.0,154.0,95.0,2011.0,95,8.7
569,Portal 2,18-Apr-11,PS3,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,1237,147.0,154.0,95.0,2011.0,95,8.5
570,The Elder Scrolls V: Skyrim,10-Nov-11,X360,Role-Playing,Bethesda Game Studios,"10,000,000-20,000,000",Bethesda Softworks,19.99,105,528.0,567.0,94.0,2011.0,96,8.5
571,The Elder Scrolls V: Skyrim,10-Nov-11,PS3,Role-Playing,Bethesda Game Studios,"10,000,000-20,000,000",Bethesda Softworks,19.99,162,528.0,567.0,94.0,2011.0,92,6.5
572,The Elder Scrolls V: Skyrim,10-Nov-11,PC,Role-Playing,Bethesda Game Studios,"10,000,000-20,000,000",Bethesda Softworks,19.99,379,528.0,567.0,94.0,2011.0,94,8.2
573,Terraria,16-May-11,PC,Platform,Re-Logic,"10,000,000-20,000,000",Re-Logic,9.99,76,794.0,659.0,83.0,2011.0,83,8.6
574,Terraria,16-May-11,X360,Action-Adventure,Re-Logic,"10,000,000-20,000,000",Re-Logic,9.99,3409,794.0,659.0,83.0,2013.0,81,7.2
575,Terraria,16-May-11,PS3,Action-Adventure,Re-Logic,"10,000,000-20,000,000",Re-Logic,9.99,4981,794.0,659.0,83.0,2013.0,81,7.9
576,The Tiny Bang Story,22-Apr-11,PC,Adventure,Colibri Games,"10,000,000-20,000,000",Colibri Games,4.99,19483,0.0,0.0,63.0,2011.0,63,7.3
577,Saints Row: The Third,14-Nov-11,X360,Action,Volition,"5,000,000-10,000,000",Deep Silver,9.99,647,126.0,42.0,84.0,2011.0,84,7.6
578,Saints Row: The Third,14-Nov-11,PS3,Action,Volition,"5,000,000-10,000,000",Deep Silver,9.99,746,126.0,42.0,84.0,2011.0,82,7.8
579,Saints Row: The Third,14-Nov-11,PC,Action,Volition,"5,000,000-10,000,000",Deep Silver,9.99,5704,126.0,42.0,84.0,2011.0,84,8.1
580,Grand Theft Auto: Vice City,10-Jan-11,PS2,Action,Rockstar Games,"2,000,000-5,000,000",Rockstar Games,9.99,31,6.0,3.0,94.0,2002.0,95,8.8
581,Grand Theft Auto: Vice City,10-Jan-11,PC,Action,Rockstar Games,"2,000,000-5,000,000",Rockstar Games,9.99,16046,6.0,3.0,94.0,2003.0,94,8.8
582,Grand Theft Auto III,6-Jan-11,PS2,Action,Rockstar Games,"2,000,000-5,000,000",Rockstar Games,9.99,54,0.0,0.0,93.0,2001.0,97,8.5
583,Grand Theft Auto III,6-Jan-11,PC,Action,Rockstar Games,"2,000,000-5,000,000",Rockstar Games,9.99,18611,0.0,0.0,93.0,2002.0,93,8.3
584,LIMBO,2-Aug-11,PC,Platform,Playdead,"2,000,000-5,000,000",Playdead,9.99,20474,141.0,84.0,88.0,2011.0,88,8.1
585,The Sims 3,27-Jan-11,PC,Simulation,The Sims Studio,"2,000,000-5,000,000",Electronic Arts,19.99,124,2156.0,718.0,86.0,2009.0,86,7.6
586,The Sims 3,27-Jan-11,X360,Simulation,The Sims Studio,"2,000,000-5,000,000",Electronic Arts,19.99,830,2156.0,718.0,86.0,2010.0,76,7.3
587,The Sims 3,27-Jan-11,PS3,Simulation,The Sims Studio,"2,000,000-5,000,000",Electronic Arts,19.99,998,2156.0,718.0,86.0,2010.0,78,6.4
588,The Sims 3,27-Jan-11,3DS,Simulation,The Sims Studio,"2,000,000-5,000,000",Electronic Arts,19.99,3089,2156.0,718.0,86.0,2011.0,52,3.1
589,The Sims 3,27-Jan-11,DS,Simulation,The Sims Studio,"2,000,000-5,000,000",Electronic Arts,19.99,3487,2156.0,718.0,86.0,2010.0,73,6
590,Bastion,16-Aug-11,PC,Role-Playing,Supergiant Games,"2,000,000-5,000,000",Supergiant Games,14.99,708,0.0,0.0,86.0,2011.0,86,8.5
591,The Binding of Isaac,28-Sep-11,PC,Action,Edmund McMillen and Florian Himsl,"2,000,000-5,000,000",Edmund McMillen,4.99,141,0.0,0.0,84.0,2011.0,84,8.4
592,Dungeon Defenders,18-Oct-11,PC,Role-Playing,Trendy Entertainment,"2,000,000-5,000,000",Trendy Entertainment,14.99,744,0.0,0.0,81.0,2011.0,81,7.3
593,Tropico 4,1-Sep-11,X360,Strategy,Haemimont Games,"2,000,000-5,000,000",Kalypso Media Digital,14.99,6068,0.0,0.0,78.0,2011.0,77,7.4
594,Tropico 4,1-Sep-11,PC,Strategy,Haemimont Games,"2,000,000-5,000,000",Kalypso Media Digital,14.99,7389,0.0,0.0,78.0,2011.0,78,7.7
595,Mafia II,22-Mar-11,PC,Action,"2K Czech, Feral Interactive (Mac)","2,000,000-5,000,000","2K, Feral Interactive (Mac)",29.99,827,0.0,0.0,77.0,2010.0,77,8
596,Mafia II,22-Mar-11,X360,Action,"2K Czech, Feral Interactive (Mac)","2,000,000-5,000,000","2K, Feral Interactive (Mac)",29.99,1403,0.0,0.0,77.0,2010.0,74,7.8
597,Mafia II,22-Mar-11,PS3,Action,"2K Czech, Feral Interactive (Mac)","2,000,000-5,000,000","2K, Feral Interactive (Mac)",29.99,1493,0.0,0.0,77.0,2010.0,75,7.7
598,"Warhammer 40,000: Space Marine",5-Sep-11,PC,Shooter,Relic,"2,000,000-5,000,000",SEGA,29.99,2164,0.0,0.0,74.0,2011.0,74,7.5
599,"Warhammer 40,000: Space Marine",5-Sep-11,X360,Shooter,Relic,"2,000,000-5,000,000",SEGA,29.99,4108,0.0,0.0,74.0,2011.0,76,7.8
600,"Warhammer 40,000: Space Marine",5-Sep-11,PS3,Shooter,Relic,"2,000,000-5,000,000",SEGA,29.99,5011,0.0,0.0,74.0,2011.0,70,7.5
601,Magicka,25-Jan-11,PC,Role-Playing,Arrowhead Game Studios,"2,000,000-5,000,000",Paradox Interactive,9.99,17123,200.0,66.0,74.0,2011.0,74,7.6
604,Serious Sam 3: BFE,22-Nov-11,PC,Shooter,Croteam,"2,000,000-5,000,000",Devolver Digital,39.99,995,0.0,0.0,72.0,2011.0,72,8.2
605,Homefront,14-Mar-11,X360,Shooter,"Kaos Studios, Digital Extremes","2,000,000-5,000,000",Deep Silver,19.99,1549,0.0,0.0,70.0,2011.0,70,6
606,Homefront,14-Mar-11,PS3,Shooter,"Kaos Studios, Digital Extremes","2,000,000-5,000,000",Deep Silver,19.99,2664,0.0,0.0,70.0,2011.0,70,5.6
607,Homefront,14-Mar-11,PC,Shooter,"Kaos Studios, Digital Extremes","2,000,000-5,000,000",Deep Silver,19.99,7872,0.0,0.0,70.0,2011.0,70,5.6
608,Dead Space 2,25-Jan-11,X360,Shooter,Visceral Games,"1,000,000-2,000,000",Electronic Arts,19.99,1450,0.0,0.0,87.0,2011.0,90,8.6
609,Dead Space 2,25-Jan-11,PS3,Shooter,Visceral Games,"1,000,000-2,000,000",Electronic Arts,19.99,1577,0.0,0.0,87.0,2011.0,89,8.4
610,Dead Space 2,25-Jan-11,PC,Shooter,Visceral Games,"1,000,000-2,000,000",Electronic Arts,19.99,6408,0.0,0.0,87.0,2011.0,87,8.4
611,Supreme Commander,28-Sep-11,X360,Strategy,Gas Powered Games,"1,000,000-2,000,000",Square Enix,12.99,12943,0.0,0.0,86.0,2008.0,56,6
612,Supreme Commander,28-Sep-11,PC,Strategy,Gas Powered Games,"1,000,000-2,000,000",Square Enix,12.99,15556,0.0,0.0,86.0,2007.0,86,8.3
613,SpaceChem,2-Mar-11,PC,Puzzle,Zachtronics,"1,000,000-2,000,000",Zachtronics,9.99,3440,0.0,0.0,84.0,2011.0,84,8.5
614,L.A. Noire,8-Nov-11,PS3,Adventure,"Team Bondi, Rockstar Leeds","1,000,000-2,000,000",Rockstar Games,19.99,510,42.0,14.0,83.0,2011.0,89,7.8
615,L.A. Noire,8-Nov-11,X360,Adventure,"Team Bondi, Rockstar Leeds","1,000,000-2,000,000",Rockstar Games,19.99,654,42.0,14.0,83.0,2011.0,89,7.9
616,L.A. Noire,8-Nov-11,PS4,Adventure,"Team Bondi, Rockstar Leeds","1,000,000-2,000,000",Rockstar Games,19.99,3836,42.0,14.0,83.0,2017.0,76,8
617,Orcs Must Die!,11-Oct-11,PC,Strategy,Robot Entertainment,"1,000,000-2,000,000",Robot Entertainment,9.99,2140,0.0,0.0,83.0,2011.0,83,8.1
618,Supreme Commander: Forged Alliance,28-Sep-11,PC,Strategy,Gas Powered Games,"1,000,000-2,000,000",Square Enix,12.99,16142,0.0,0.0,81.0,2007.0,81,8.9
619,To the Moon,1-Nov-11,PC,Misc,Freebird Games,"1,000,000-2,000,000",Freebird Games,9.99,2199,0.0,0.0,81.0,2011.0,81,9
620,Red Faction: Armageddon,6-Jun-11,PC,Shooter,Volition,"1,000,000-2,000,000",THQ Nordic,19.99,3025,0.0,0.0,75.0,2011.0,75,6.7
621,Red Faction: Armageddon,6-Jun-11,PS3,Shooter,Volition,"1,000,000-2,000,000",THQ Nordic,19.99,4878,0.0,0.0,75.0,2011.0,71,7.3
622,Red Faction: Armageddon,6-Jun-11,X360,Shooter,Volition,"1,000,000-2,000,000",THQ Nordic,19.99,5635,0.0,0.0,75.0,2011.0,71,7
623,F.E.A.R. 3,21-Jun-11,PC,Shooter,Day 1 Studios,"1,000,000-2,000,000",Warner Bros. Interactive Entertainment,19.99,2175,0.0,0.0,74.0,2011.0,74,5.8
624,F.E.A.R. 3,21-Jun-11,PS3,Shooter,Day 1 Studios,"1,000,000-2,000,000",Warner Bros. Interactive Entertainment,19.99,4979,0.0,0.0,74.0,2011.0,74,7.2
625,F.E.A.R. 3,21-Jun-11,X360,Shooter,Day 1 Studios,"1,000,000-2,000,000",Warner Bros. Interactive Entertainment,19.99,5027,0.0,0.0,74.0,2011.0,75,6.9
626,Mount & Blade: With Fire & Sword,3-May-11,PC,Role-Playing,TaleWorlds Entertainment,"1,000,000-2,000,000",TaleWorlds Entertainment,9.99,20323,55.0,18.0,68.0,2011.0,68,6.8
627,Duke Nukem Forever,13-Jun-11,PC,Shooter,Gearbox Software,"1,000,000-2,000,000",2K,19.99,2724,0.0,0.0,54.0,2011.0,54,5.8
628,Duke Nukem Forever,13-Jun-11,X360,Shooter,Gearbox Software,"1,000,000-2,000,000",2K,19.99,2876,0.0,0.0,54.0,2011.0,49,4.5
629,Duke Nukem Forever,13-Jun-11,PS3,Shooter,Gearbox Software,"1,000,000-2,000,000",2K,19.99,3123,0.0,0.0,54.0,2011.0,51,4.9
630,Dungeon Siege,5-Apr-11,PC,Role-Playing,Gas Powered Games,"500,000-1,000,000",Square Enix,6.99,20310,0.0,0.0,86.0,2002.0,86,7.7
631,Frozen Synapse,26-May-11,PC,Strategy,Mode 7,"500,000-1,000,000",Mode 7,24.99,31448,0.0,0.0,85.0,2011.0,85,7.6
632,Anno 2070,17-Nov-11,PC,Strategy,"Blue Byte, Related Designs","500,000-1,000,000",Ubisoft,19.99,1617,0.0,0.0,83.0,2011.0,83,7
634,Syberia,19-May-11,DS,Adventure,Microids,"500,000-1,000,000",Microids,12.99,10916,0.0,0.0,82.0,2008.0,52,tbd
