,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
37,Space Hack,15-Nov-05,PC,Action,,"200,000-500,000",Meridian4,4.99,45656,0.0,0.0,63.0,2014.0,63,7.7
38,Cossacks II: Napoleonic Wars,26-Apr-05,PC,Strategy,GSC Game World,"100,000-200,000",GSC World Publishing,4.99,20798,0.0,0.0,73.0,2005.0,73,7.2
39,Imperial Glory,15-May-05,PC,Strategy,Pyro Studios,"100,000-200,000",Kalypso Media Digital,4.99,15959,0.0,0.0,69.0,2005.0,69,8.2
40,Myst V: End of Ages,19-Jul-05,PC,Adventure,Cyan Worlds,"50,000-100,000",Cyan Worlds,9.99,20409,0.0,0.0,80.0,2005.0,80,7.7
41,Obscure,6-Apr-05,PS2,Adventure,Hydravision Entertainment,"50,000-100,000",Mighty Rocket Studio,6.99,14061,0.0,0.0,63.0,2005.0,65,8.8
42,Obscure,6-Apr-05,PC,Adventure,Hydravision Entertainment,"50,000-100,000",Mighty Rocket Studio,6.99,20736,0.0,0.0,63.0,2005.0,63,7.7
43,UFO: Aftershock,21-Oct-05,PC,Strategy,ALTAR Interactive,"50,000-100,000",1C Entertainment,3.99,50174,0.0,0.0,,2005.0,67,7.7
44,UFO: Aftershock,21-Oct-05,PC,Role-Playing,ALTAR Interactive,"50,000-100,000",1C Entertainment,3.99,50175,0.0,0.0,,2005.0,67,7.7
45,The Moment of Silence,1-Mar-05,PC,Adventure,House of Tales,"20,000-50,000",HandyGames,14.99,48596,0.0,0.0,70.0,2005.0,70,7.5
46,Rag Doll Kung Fu,12-Oct-05,PC,Fighting,Mark Healey,"20,000-50,000",Mark Healey,9.99,42287,0.0,0.0,69.0,2005.0,69,5
47,Cold War,27-Sep-05,PC,Shooter,Mindware Studios,"20,000-50,000",THQ Nordic,4.99,26781,0.0,0.0,64.0,2005.0,64,6
48,Fish Tycoon,14-Nov-05,DS,Simulation,Last Day of Work,"0-20,000",Last Day of Work,9.99,7392,0.0,0.0,,2007.0,46,7
49,Fish Tycoon,12-May-08,DS,Simulation,Last Day of Work,"0-20,000",Last Day of Work,9.99,7392,0.0,0.0,,2007.0,46,7
50,Disney's Chicken Little,20-Oct-05,PS2,Platform,Avalanche Software,"0-20,000",Disney Interactive,9.99,3576,0.0,0.0,,2005.0,60,8.6
51,Disney's Chicken Little,20-Oct-05,GC,Platform,Avalanche Software,"0-20,000",Disney Interactive,9.99,7258,0.0,0.0,,2005.0,67,tbd
52,Half-Life 2: Episode One,1-Jun-06,PC,Shooter,Valve,"5,000,000-10,000,000",Valve,7.99,387,12.0,4.0,87.0,2006.0,87,8.6
53,Psychonauts,11-Oct-06,PS2,Platform,Double Fine Productions,"2,000,000-5,000,000",Double Fine Productions,9.99,12715,0.0,0.0,87.0,2005.0,86,8.6
54,Psychonauts,11-Oct-06,PC,Platform,Double Fine Productions,"2,000,000-5,000,000",Double Fine Productions,9.99,20950,0.0,0.0,87.0,2005.0,87,8.8
55,Company of Heroes,11-Sep-06,PC,Strategy,Relic Entertainment,"500,000-1,000,000",SEGA,19.99,15550,0.0,0.0,93.0,2006.0,93,8.8
56,Red Orchestra: Ostfront 41-45,14-Mar-06,PC,Shooter,Tripwire Interactive,"500,000-1,000,000",Tripwire Interactive,2.49,2830,0.0,0.0,81.0,2006.0,81,8.6
57,Sid Meier's Railroads!,16-Oct-06,PC,Simulation,"Firaxis Games, Feral Interactive (Mac)","500,000-1,000,000","2K, Feral Interactive (Mac)",9.99,16232,0.0,0.0,77.0,2006.0,77,5.6
58,FlatOut 2,21-Dec-06,PS2,Racing,Bugbear Entertainment,"500,000-1,000,000",Strategy First,9.99,10014,0.0,0.0,76.0,2006.0,73,7.7
59,FlatOut 2,21-Dec-06,PC,Racing,Bugbear Entertainment,"500,000-1,000,000",Strategy First,9.99,20717,0.0,0.0,76.0,2006.0,76,8.7
60,Shadowgrounds,8-May-06,PC,Shooter,Frozenbyte,"500,000-1,000,000",Frozenbyte,1.04,44220,0.0,0.0,74.0,2006.0,74,7
61,Call of Duty,13-Oct-06,PC,Shooter,Infinity Ward,"200,000-500,000",Activision,19.99,19793,0.0,0.0,91.0,2003.0,91,8.5
62,Call of Duty: United Offensive,13-Oct-06,PC,Shooter,Gray Matter Studios,"200,000-500,000",Activision,19.99,25733,0.0,0.0,87.0,2004.0,87,8.2
63,Call of Duty 2,13-Oct-06,X360,Shooter,Infinity Ward,"200,000-500,000",Activision,19.99,969,0.0,0.0,86.0,2005.0,89,8.2
64,Call of Duty 2,13-Oct-06,PC,Shooter,Infinity Ward,"200,000-500,000",Activision,19.99,14472,0.0,0.0,86.0,2005.0,86,8.4
65,SiN Episodes: Emergence,10-May-06,PC,Shooter,Ritual Entertainment,"200,000-500,000",Ritual Entertainment,9.99,44948,0.0,0.0,75.0,2006.0,75,8.1
66,Earth 2160,1-Apr-06,PC,Strategy,Reality Pump Studios,"200,000-500,000","Topware Interactive, ACE",4.99,21116,430.0,287.0,73.0,2005.0,73,7.4
67,X2: The Threat,21-Jul-06,PC,Simulation,Egosoft,"200,000-500,000",Egosoft,4.99,21106,0.0,0.0,72.0,2003.0,72,7.2
68,X3: Reunion,21-Jul-06,PC,Strategy,Egosoft,"200,000-500,000",Egosoft,9.99,20509,0.0,0.0,71.0,2005.0,71,6.8
69,Ghost Master,21-Dec-06,PC,Strategy,Sick Puppies,"100,000-200,000",Strategy First,4.99,20632,0.0,0.0,81.0,2003.0,81,7.7
70,Caesar IV,9-Sep-06,PC,Strategy,"Tilted Mill Entertainment, Inc.","100,000-200,000",Activision,9.99,16209,0.0,0.0,74.0,2006.0,74,7.6
71,Dangerous Waters,7-Feb-06,PC,Simulation,Sonalysts,"50,000-100,000",Strategy First,14.99,19323,0.0,0.0,82.0,2006.0,82,8.8
72,Disciples II: Rise of the Elves,6-Jul-06,PC,Strategy,Strategy First,"50,000-100,000",Strategy First,6.99,28511,0.0,0.0,80.0,2003.0,80,8
73,Advent Rising,14-Sep-06,PC,Action,GlyphX Games,"50,000-100,000",Majesco Entertainment,9.99,21884,0.0,0.0,70.0,2005.0,70,8.6
74,Rogue Trooper,23-May-06,PS2,Shooter,Rebellion,"50,000-100,000",Rebellion,9.99,15613,0.0,0.0,69.0,2006.0,71,8.4
75,Rogue Trooper,23-May-06,PC,Shooter,Rebellion,"50,000-100,000",Rebellion,9.99,20768,0.0,0.0,69.0,2006.0,69,7.9
